"Apple Part","MSRP","Description","Processor","Memory","Storage"
"MU963LL/A","1999","Mac Studio: Apple M4 Max chip with 14‑core CPU, 32‑core GPU, 36GB, 512GB","M4 Max chip with 14‑core CPU, 32‑core GPU","36GB","512GB SSD"
"MU973LL/A","3999","Mac Studio: Apple M3 Ultra chip with 28‑core CPU, 60‑core GPU, 96GB, 1TB","M3 Ultra chip with 28‑core CPU, 60‑core GPU","96GB","1TB SSD"
